Target (Gene),Action Type,Action,Drug Name,Specific Disease,num_drugs,num_diseases,Broad Category,maxClinicalStage,immune_indication
EPHB3,INHIBITOR,Ephrin receptor inhibitor; Tyrosine-protein kinase BRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Epidermal growth factor receptor inhibitor; Tyrosine-protein kinase SRC inhibitor; Tyrosine-protein kinase TIE-2 inhibitor,VANDETANIB,acute myeloid leukemia; plasma cell myeloma,1,2,immune system disorder,APPROVAL,1
KIF5B,INHIBITOR,Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET inhibitor,SELPERCATINIB,plasma cell myeloma,1,1,immune system disorder,APPROVAL,1
HTR2C,ANTAGONIST,D2-like dopamine receptor antagonist; Serotonin 2c (5-HT2c) receptor antagonist; Serotonin 2a (5-HT2a) receptor antagonist; Serotonin 2a (5-HT2a) receptor antagonist; Dopamine D2 receptor antagonist; Serotonin 2c (5-HT2c) receptor antagonist; Serotonin 2a (5-HT2a) receptor antagonist; Serotonin 2c (5-HT2c) receptor antagonist; Adrenergic receptor alpha-2 antagonist; Serotonin 2a (5-HT2a) receptor antagonist; Serotonin 2c (5-HT2c) receptor antagonist; Dopamine D2 receptor antagonist,MIRTAZAPINE; QUETIAPINE FUMARATE; RISPERIDONE; THIORIDAZINE,22q11.2 deletion syndrome; acute myeloid leukemia; inflammatory bowel disease; multiple sclerosis,4,4,immune system disorder,APPROVAL,1
XDH,INHIBITOR,Xanthine dehydrogenase inhibitor,ALLOPURINOL; FEBUXOSTAT,Burkitt lymphoma; inflammatory bowel disease; rheumatoid arthritis; ulcerative colitis,2,4,immune system disorder,APPROVAL,1
OPRM1,AGONIST,Mu opioid receptor agonist,MEPERIDINE; METHADONE; MORPHINE,AIDS; acute graft versus host disease; chronic graft versus host disease; graft versus host disease; rheumatoid arthritis,3,5,immune system disorder,APPROVAL,1
OPRM1,ANTAGONIST,Opioid receptors; mu/kappa/delta antagonist,NALTREXONE,Crohn disease; atopic eczema; inflammatory bowel disease; lupus erythematosus; multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome; psoriasis; rheumatoid arthritis; systemic lupus erythematosus,1,9,immune system disorder,APPROVAL,1
THRB,AGONIST,Thyroid hormone receptor agonist,LEVOTHYROXINE; LIOTHYRONINE,Hashimoto thyroiditis; autoimmune thyroid disease; multiple sclerosis,2,3,immune system disorder,APPROVAL,1
GABRA5,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRA5,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
GABRA5,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
GABRA5,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
BMX,INHIBITOR,Tyrosine-protein kinase JAK3 inhibitor; TEC family kinase inhibitor,RITLECITINIB,Crohn disease; rheumatoid arthritis; type 1 diabetes mellitus; ulcerative colitis; vitiligo,1,5,immune system disorder,APPROVAL,1
CACNA1G,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
CACNB4,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
GABRB2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRB2,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
GABRB2,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
GABRB2,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
GABRA1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRA1,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
GABRA1,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
GABRA1,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
GABRG1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRG1,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
GABRG1,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
GABRG1,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
HTR3A,ANTAGONIST,Serotonin 3a (5-HT3a) receptor antagonist,ONDANSETRON,myasthenia gravis,1,1,immune system disorder,APPROVAL,1
HTR3A,ANTAGONIST; AGONIST,Dopamine D2 receptor antagonist; Serotonin 4 (5-HT4) receptor agonist; Serotonin 3a (5-HT3a) receptor antagonist,METOCLOPRAMIDE,type 1 diabetes mellitus,1,1,immune system disorder,APPROVAL,1
CACNA2D2,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
GABRG3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRG3,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
GABRG3,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
GABRG3,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
CACNG2,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
CACNA1E,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
CACNB3,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
CACNG1,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
CACNG8,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
GABRQ,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRQ,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
GABRQ,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
GABRQ,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
CACNA2D4,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
PCSK9,INHIBITOR,Subtilisin/kexin type 9 inhibitor,ALIROCUMAB,type 1 diabetes mellitus,1,1,immune system disorder,APPROVAL,1
GABRA6,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
GABRA6,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRA6,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
GABRA6,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
GABRD,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,ALPRAZOLAM; DIAZEPAM; ESZOPICLONE; MIDAZOLAM; PROPOFOL,acute myeloid leukemia; atopic eczema; hypersensitivity reaction disease; hypersplenism; multiple sclerosis; rheumatoid arthritis; type 1 diabetes mellitus,5,7,immune system disorder,APPROVAL,1
GABRD,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
GABRD,OPENER; POSITIVE ALLOSTERIC MODULATOR; POSITIVE MODULATOR,Potassium channel subfamily K member 10 opener; Potassium channel subfamily K member 18 opener; Potassium channel subfamily K member 2 opener; Potassium channel subfamily K member 9 opener; GABA-A receptor; anion channel positive allosteric modulator; Glycine receptor (alpha-1/beta) positive modulator; Potassium channel subfamily K member 3 opener,DESFLURANE,hypersplenism,1,1,immune system disorder,APPROVAL,1
GABRD,ANTAGONIST,GABA-A receptor; anion channel antagonist,ETIFOXINE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
IMPA1,INHIBITOR,Glycogen synthase kinase-3 inhibitor; Inositol-1(or 4)-monophosphatase 1 inhibitor,LITHIUM CARBONATE,"Niemann-Pick disease, type C1; acute myeloid leukemia; graft versus host disease; multiple sclerosis; neutropenia",1,5,immune system disorder,APPROVAL,1
PDE2A,INHIBITOR,"3',5'-cyclic phosphodiesterase inhibitor; Equilibrative nucleoside transporter 1 inhibitor",DIPYRIDAMOLE,rheumatoid arthritis,1,1,immune system disorder,APPROVAL,1
PDE2A,ANTAGONIST; INHIBITOR,"Adenosine A2 receptor antagonist; 3',5'-cyclic phosphodiesterase inhibitor",PENTOXIFYLLINE,AIDS; inflammatory bowel disease; lymphedema; rheumatoid arthritis; type 1 diabetes mellitus; ulcerative colitis,1,6,immune system disorder,APPROVAL,1
HTR4,ANTAGONIST; AGONIST,Dopamine D2 receptor antagonist; Serotonin 4 (5-HT4) receptor agonist; Serotonin 3a (5-HT3a) receptor antagonist,METOCLOPRAMIDE,type 1 diabetes mellitus,1,1,immune system disorder,APPROVAL,1
CACNG4,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
CACNG7,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
CACNG6,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
CACNG5,MODULATOR,Voltage-gated calcium channel modulator,GABAPENTIN; PREGABALIN,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome,2,2,immune system disorder,APPROVAL,1
PRKAA2,ACTIVATOR,"AMP-activated protein kinase, AMPK activator",ACADESINE,B-cell chronic lymphocytic leukemia; acute myeloid leukemia; chronic myelomonocytic leukemia,1,3,immune system disorder,APPROVAL,1
GAA,INHIBITOR,Lysosomal alpha-glucosidase inhibitor; Maltase-glucoamylase inhibitor,MIGLITOL,type 1 diabetes mellitus,1,1,immune system disorder,APPROVAL,1
GRIK2,ANTAGONIST; BLOCKER; INHIBITOR; POSITIVE MODULATOR,Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator,TOPIRAMATE,multiple sclerosis; ulcerative colitis,1,2,immune system disorder,APPROVAL,1
SLC12A1,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor,FUROSEMIDE,acute myeloid leukemia,1,1,immune system disorder,APPROVAL,1
MAPK11,INHIBITOR,Discoidin domain-containing receptor 2 inhibitor; Ephrin type-A receptor 2 inhibitor; Fibroblast growth factor receptor 2 inhibitor; MAP kinase p38 beta inhibitor; Platelet-derived growth factor receptor inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Fibroblast growth factor receptor 1 inhibitor; Nerve growth factor receptor Trk-A inhibitor; Serine/threonine-protein kinase RAF inhibitor; Tyrosine-protein kinase ABL inhibitor; Tyrosine-protein kinase FRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor,REGORAFENIB,acute myeloid leukemia; myeloproliferative neoplasm; plasma cell myeloma; thymic carcinoma; thymoma,1,5,immune system disorder,APPROVAL,1
