gene,rest_coef_beta,rest_se_beta,rest_signed_log10p,stim8hr_coef_beta,stim8hr_se_beta,stim8hr_signed_log10p,stim48hr_coef_beta,stim48hr_se_beta,stim48hr_signed_log10p
DPH3,-0.0154656547939419,0.0095478171626519,-0.9775630831865416,-0.0075906404096139,0.0094985973589882,-0.3723978639029325,-0.0162751766072913,0.0095556100065788,-1.052771645175124
DPH5,0.0054465192464326,0.0095488397498426,0.2453244467319186,-0.0074853179844202,0.0094961505297049,-0.3659573164108276,-0.0063870053762079,0.0095553540142136,-0.2976739791663423
DPH6,-0.0078294526656289,0.0095485680759701,-0.3848325781997338,-0.0008152058168625,0.0094962675311501,-0.0307745724722727,-0.0054252539054567,0.0095551155011064,-0.2439784686195319
DPH7,0.0037776851367701,0.0095491110731643,0.1596407242625218,-0.0093399917097145,0.0094961062915941,-0.4876444753747523,-0.0028606900300533,0.0095553782839003,-0.1165340177920524
DPM1,0.0012017162331239,0.0095491605462203,0.0458266078550891,0.0038299175650694,0.0094991841493548,0.1631565312169129,-0.0238454980217155,0.0095556336225132,-1.8998051218347305
DPM2,0.0008799098981441,0.0095488780099575,0.0331160637350346,-0.0019041274857887,0.0094978227624653,-0.0751479321556042,0.0107136155707241,0.009555224906781,0.5813435633818208
DPM3,0.0028664529074844,0.0095517984639502,0.1168441322893522,0.0155171747136422,0.0094983481676102,0.9898837658763254,0.0052516650186663,0.0095558725222113,0.2346127515213648
DPP3,0.0052267458694543,0.0095497691763072,0.2334588138149988,0.0086452232214832,0.0094969018880761,0.4404840664536234,-0.0021506469642175,0.009555524271916,-0.0851650228948164
DPP4,0.0226923683206759,0.0095470981240373,1.7575401506085044,0.0299106433037985,0.0095022770774065,2.782562906786992,0.0402576679712633,0.0095562414804364,4.59453812037176
DPP7,0.0028995572061995,0.0095486324376202,0.1183921423063819,-0.0002371573648363,0.0094961147387914,-0.0087402281803537,0.0196235162282236,0.0095537373636241,1.397959418897354
DPP8,0.00710904587854,0.0095486649205683,0.3404773392355721,-0.0009926113417536,0.0094962547962041,-0.0377474884494037,0.0035798420414221,0.0095558022710698,0.1499994151122099
DPP9,-0.0155430432511928,0.0095494422209744,-0.984512210391048,-0.0097469760689403,0.0094962608331623,-0.5160918720194178,-0.01406598575092,0.0095542807058571,-0.8508085807415777
DPY19L1,0.0015253681121046,0.0095489481113744,0.0589423353956605,0.0132359303162696,0.0094961081803062,0.7867528532898492,0.0064244087982709,0.0095550853982101,0.2998398362628419
DPY19L3,-0.0044460749992866,0.0095490085201809,-0.1927986333708743,-0.006870290854804,0.0094970794723818,-0.3284172191631147,-0.0010425389370557,0.0095586277228175,-0.0394575449605953
DPY19L4,0.0177816542896176,0.0095475485028746,1.2036384401836808,0.0179673760071793,0.009494703900448,1.2330694475541384,0.0052180435894761,0.0095555550247077,0.2328247840690171
DPY30,0.0036438899507497,0.0095485503730456,0.153197360020473,-0.0116181576879881,0.0094969327174947,-0.6551747518515639,0.0019890341153914,0.0095548079165605,0.078261856017693
DPYD,-0.0020490583920343,0.0095495840084466,-0.0808662990691322,0.0123496065166292,0.0094955884227226,0.7134636523127005,0.0183966363891464,0.0095537177825252,1.2661569372700072
DPYSL2,0.0083414965151589,0.0095503634342636,0.4174224848320986,0.0212378908060958,0.009496245190256,1.5961548649620971,0.0061808712607118,0.0095557073671368,0.2858724670127365
